step	time	T	Ekin	res	lj	bond_43	bond_128	bond_140_cross	bond_126	bond_131	bond_26	bond_136	bond_134	bond_143_cross	bond_138_cross	bond_124	bond_129	bond_127	bond_18_cross	bond_137_cross	bond_141_cross	bond_135	bond_2	bond_136_cross	bond_102	bond_125	bond_144_cross	bond_130	bond_142_cross	bond_139_cross	bond_146_cross	bond_133	bond_132	bond_145_cross
74	0.074	4.9834	48393.8	0	315.461	231.332	6.0974	0	68.7124	197.817	33.4981	9.34047	68.1015	98.8772	7513.7	211.813	6385.5	2.16256	0	3298.81	1915.48	6.99524	1884.44	0	194.317	135.074	0	480.1	231.011	0	0	346.051	140.377	0
75	0.075	5.08312	49362.2	0	315.544	230.048	5.29548	0	80.6305	186.336	39.9497	12.0757	70.0051	101.315	7982.22	147.628	4102	3.10516	0	3372.85	1952.27	8.38431	2687.37	0	205.562	137.569	0	444.847	239.289	0	0	357.264	137.608	0
76	0.076	5.14399	49953.3	0	315.015	225.651	7.31908	0	89.9308	175.402	45.9151	16.8732	71.1847	103.844	8454.11	87.8258	2259.81	3.8075	0	3444.84	1987.49	12.5846	3616.31	0	66.4079	144.213	0	436.21	247.682	0	0	326.991	138.384	0
77	0.077	5.14365	49949.9	0	314.229	220.146	9.55014	0	95.5794	167.671	45.1062	21.986	71.6009	106.304	8927.69	44.5515	1107.54	3.50345	0	3514.67	2021.17	18.3456	4405.65	0	43.0631	148.638	0	471.159	255.954	0	0	299.448	142.437	0
78	0.078	5.04272	48969.9	0	312.993	216.082	8.52699	0	96.6639	165.809	38.6519	26.1696	71.3744	108.787	9400.55	24.7638	783.351	3.38722	0	3582.48	2053.1	24.3703	4840.74	0	209.043	141.795	0	519.487	264.234	0	0	322.01	146.917	0
79	0.079	4.88306	47419.4	0	311.337	215.454	5.41018	0	92.8249	170.024	34.9543	28.1486	71.4969	111.243	9869.9	31.8507	1281.5	3.39023	0	3647.73	2083.11	29.0382	4877.45	0	297.069	131.787	0	540.203	272.652	0	0	376.598	150.957	0
80	0.08	4.70319	45672.7	0	312.393	218.414	4.20102	0	85.7192	179.723	39.1746	26.7805	71.3191	113.636	10333.6	64.2336	2464.07	3.88466	0	3710.29	2111.03	31.8187	4599.3	0	157.921	132.476	0	527.277	281.258	0	0	416.428	153.156	0
81	0.081	4.5092	43788.8	0	314.064	224.745	6.95343	0	76.9194	191.242	45.0523	22.7021	70.7961	115.92	11853.1	115.853	4095.05	3.76283	0	4195.68	2136.93	31.6127	4107.58	0	31.8813	148.857	0	508.607	290.043	0	0	399.003	153.113	0
82	0.082	4.28945	41654.8	0	311.722	231.735	10.1201	0	68.8255	201.651	45.8903	17.0809	70.0276	118.218	12304.3	177.195	5892.45	3.1995	0	4252.07	2160.73	28.799	3431.03	0	143.728	160.091	0	499.518	299.055	0	0	352.295	151.774	0
83	0.083	4.06617	39486.6	0	308.387	238.713	8.67217	0	61.8825	208.662	40.387	11.6703	68.3341	120.524	12742.7	236.584	7580.02	3.1549	0	4304.81	2182.03	24.1959	2603.68	0	325.062	154.045	0	497.831	308.074	0	0	338.124	150.393	0
